countryyear,decile,inc1_mean,inc1_min,inc1_max,inc2_mean,inc2_min,inc2_max,inc3_mean,inc3_min,inc3_max,inc4_mean,inc4_min,inc4_max,transfer_mean,transfer_min,transfer_max,tax_mean,tax_min,tax_max
at04,D01,4743.987232965585,0,16022.65234375,8725.591916981919,0,16025.2109375,13791.57943801976,0,38634.4140625,11833.0907433017,0,33385.96875,5065.987536287565,0,29548.455078125,1958.488714415134,-1127.86962890625,8673.982421875
at04,D02,11656.16061255252,0,23076.119140625,19771.47627884511,16043.994140625,23076.119140625,22837.02222031964,16043.994140625,36760.48046875,17154.84224444464,44.19140625,33153.02734375,3065.54590964593,0,14874.623046875,5682.179976107689,255.4251403808594,20976.541015625
at04,D03,18387.07723345775,0,28425.96484375,25833.77892111242,23103.271484375,28425.96484375,29113.38608100412,23122.287109375,50203.6484375,20364.32667587769,11456.08984375,39449.49609375,3279.607159340004,0,24887.10546875,8749.059386931282,682.0394897460938,19230.794921875
at04,D04,21939.5031433968,0,33900.59765625,31247.66260982793,28451.783203125,33901.9609375,33835.71420645351,28465.73828125,49643.5546875,22998.78643769079,9795.826171875,42568.91015625,2588.051641510614,-.001953125,19251.599609375,10836.92776250334,2179.8857421875,21806.2421875
at04,D05,27887.2523421482,0,39364.640625,36748.05989237186,33905.421875,39382.0546875,39634.33855178547,33938.69140625,53270.82421875,26177.74935467512,16004.412109375,40121.32421875,2886.278621713887,-.001953125,17457.685546875,13456.58913435524,1881.722412109375,21324.75
at04,D06,33780.3711062519,0,45865.67578125,42687.09284086706,39385.7421875,45887.48828125,44916.41076972959,39385.7421875,85433.578125,28775.24744620958,13413.4765625,68455,2229.317910333038,-.00390625,42919.1953125,16141.16327248292,969.35302734375,30046.48828125
at04,D07,42822.09488081718,0,53802.22265625,49572.78252591169,45905.33203125,53802.22265625,51573.0561489196,45967.578125,69032.625,31539.99846477909,18446.31640625,55646.05078125,2000.273669756984,0,17292.71875,20033.05779358609,6441.5380859375,35247.17578125
at04,D08,49943.74418137858,0,63972.5859375,58574.80290638717,53825.875,63972.5859375,60213.34959325211,53841.84375,91159.625,36131.16482466672,21683.96484375,54416.34765625,1638.546609591015,0,27191.841796875,24082.18470710197,5348.98291015625,41586.74609375
at04,D09,62649.57011240282,0,80866.046875,71440.42045359974,63990.25,80866.046875,72890.41175709173,63990.25,97952.8203125,42951.24707463613,22825.22265625,71764.953125,1449.991255635053,-.0078125,18978.10546875,29939.16468584816,1520.322998046875,50628.7578125
at04,D10,100397.540428221,0,364975.71875,113352.8548372707,80953.0234375,414441.90625,114725.9558694774,80966.6015625,414441.90625,66193.80342328016,35634.41015625,245648.34375,1373.101065607851,0,34653.58203125,48532.15254338009,9609.69140625,172796.328125
Inequality Measures 1,countryyear,inc1_gini,inc2_gini,inc3_gini,inc4_gini,dhi_gini,transfer_conc_inc1,transfer_conc_inc2,transfer_conc_inc3,transfer_conc_inc4,tax_conc_inc1,tax_conc_inc2,tax_conc_inc3,tax_conc_inc4
Inequality Measures 1,at04,.4578289721755175,.3403423970987371,.3130920705139268,.2724487043922962,.2684039327079564,-.0587941798597306,-.2208626560631252,-.125714286884066,-.1201382427158311,.3868172774234499,.3950713382962661,.3983239026113065,.3519595023063251
Inequality Measures 2,countryyear,allpension_conc_inc1,allpension_conc_inc2,allpension_conc_inc3,allpension_conc_inc4,pubpension_conc_inc1,pubpension_conc_inc2,pubpension_conc_inc3,pubpension_conc_inc4,pripension_conc_inc1,pripension_conc_inc2,pripension_conc_inc3,pripension_conc_inc4
